range,1-100
bit,7
print,沿岸地点(コード番号：%d)
1,カムチャツカ半島東岸　ウスチカムチャツク
2,カムチャツカ半島東岸　ペトロパブロフスク-カムチャツキー
3,千島列島　セベロクリリスク
4,千島列島　ウルップ島
5,朝鮮半島南岸　プサン
6,朝鮮半島南岸　ノーワ
7,朝鮮半島南岸　ソギポ
8,台湾東岸　フワレン
9,フィリピン諸島東岸　バスコ
10,フィリピン諸島東岸　パラナン
11,フィリピン諸島東岸　レガスピ
12,フィリピン諸島東岸　ラオアン
13,フィリピン諸島東岸　マドリッド
14,フィリピン諸島東岸　ダバオ
15,イリアンジャヤ北岸　ベレベレ
16,イリアンジャヤ北岸　パタニ
17,イリアンジャヤ北岸　ソロン
18,イリアンジャヤ北岸　マノクワリ
19,イリアンジャヤ北岸　ワルサ
20,イリアンジャヤ北岸　ジャヤプラ
21,パプアニューギニア北岸　バニモ
22,パプアニューギニア北岸　ウエワク
23,パプアニューギニア北岸　マダン
24,パプアニューギニア北岸　マヌス島
25,パプアニューギニア北岸　ラバウル
26,パプアニューギニア北岸　カビエング
27,パプアニューギニア北岸　キンベ
28,パプアニューギニア北岸　キェイタ
29,マリアナ諸島　グアム
30,マリアナ諸島　サイパン島
31,パラオ諸島　マラカル
32,ミクロネシア　ヤップ島
33,ミクロネシア　チューク島
34,ミクロネシア　ポンペイ島
35,ミクロネシア　コスラエ島
36,マーシャル諸島　エニウエトク島
37,ソロモン諸島北岸　パングー
38,ソロモン諸島北岸　アウキ
39,ソロモン諸島北岸　キラキラ
40,ソロモン海　ムンダ
41,ソロモン海　ホニアラ
42,南シナ海北岸　香港
43,南シナ海北岸　サンヤー
44,トンキン湾沿岸　ビン
45,インドシナ半島東岸　クイニョン
46,インドシナ半島東岸　バクリュー
47,タイランド湾沿岸　プラチュアプキリカン
48,タイランド湾沿岸　シアヌークビル
49,タイランド湾沿岸　ナコンシータマラト
50,カリマンタン北西岸　ムアラ
51,カリマンタン北西岸　ビンツール
52,フィリピン諸島西岸　ラオアグ
53,フィリピン諸島西岸　サンフェルナンド
54,フィリピン諸島西岸　マニラ
55,スル海沿岸　イロイロ
56,スル海沿岸　プエルトプリンセサ
57,スル海沿岸　サンダカン
58,マレー半島東岸　クアラトレンガヌ
59,マレー半島東岸　シンガポール
60,セレベス海沿岸　サンボアンガ
61,セレベス海沿岸　タラカン
62,セレベス海沿岸　マナド
63,セレベス海沿岸　トリトリ
64,ナツナ海沿岸　シンカワン
65,ナツナ海沿岸　パンカルピナン
100,その他の沿岸地点
